date,value
1990-7-30,0.6145
1990-7-31,0.6115
1990-8-1,0.6071
1990-8-2,0.6145
1990-8-3,0.6145
1990-8-4,0.6135
1990-8-5,0.612
1990-8-6,0.6105
1990-8-7,0.6125
1990-8-8,0.61
1990-8-9,0.6095
1990-8-10,0.6095
1990-8-11,0.6118
1990-8-12,0.6125
1990-8-13,0.6137
1990-8-14,0.6119
1990-8-15,0.6113
1990-8-16,0.61
1990-8-17,0.6092
1990-8-18,0.609
1990-8-19,0.61
1990-8-20,0.6093
1990-8-21,0.609
1990-8-22,0.6008
1990-8-23,0.6025
1990-8-24,0.6043
1990-8-25,0.6005
1990-8-26,0.6011
1990-8-27,0.596
1990-8-28,0.5985
1990-8-29,0.5913
1990-8-30,0.5872
1990-8-31,0.5997
1990-9-1,0.59
1990-9-2,0.586
1990-9-3,0.5855
1990-9-4,0.586
1990-9-5,0.585
1990-9-6,0.5855
1990-9-7,0.5865
1990-9-8,0.5918
1990-9-9,0.5935
1990-9-10,0.5911
1990-9-11,0.592
1990-9-12,0.5923
1990-9-13,0.5906
1990-9-14,0.5905
1990-9-15,0.5937
1990-9-16,0.593
1990-9-17,0.594
1990-9-18,0.5972
1990-9-19,0.5943
1990-9-20,0.5947
1990-9-21,0.596
1990-9-22,0.596
1990-9-23,0.5968
1990-9-24,0.5966
1990-9-25,0.5975
1990-9-26,0.6002
1990-9-27,0.5995
1990-9-28,0.5987
1990-9-29,0.5997
1990-9-30,0.6002
1990-10-1,0.5995
1990-10-2,0.6003
1990-10-3,0.603
1990-10-4,0.6007
1990-10-5,0.601
1990-10-6,0.6032
1990-10-7,0.6071
1990-10-8,0.6062
1990-10-9,0.6058
1990-10-10,0.6045
1990-10-11,0.5993
1990-10-12,0.5992
1990-10-13,0.5972
1990-10-14,0.5974
1990-10-15,0.6002
1990-10-16,0.5988
1990-10-17,0.5995
1990-10-18,0.601
1990-10-19,0.5977
1990-10-20,0.5977
1990-10-21,0.598
1990-10-22,0.5979
1990-10-23,0.596
1990-10-24,0.5968
1990-10-25,0.5965
1990-10-26,0.593
1990-10-27,0.594
1990-10-28,0.5953
1990-10-29,0.5957
1990-10-30,0.5945
1990-10-31,0.5891
1990-11-1,0.5865
1990-11-2,0.5865
1990-11-3,0.5865
1990-11-4,0.5865
1990-11-5,0.5873
1990-11-6,0.59
1990-11-7,0.5928
1990-11-8,0.5925
1990-11-9,0.5943
1990-11-10,0.5917
1990-11-11,0.5905
1990-11-12,0.591
1990-11-13,0.5898
1990-11-14,0.5895
1990-11-15,0.5896
1990-11-16,0.5921
1990-11-17,0.5908
1990-11-18,0.5909
1990-11-19,0.5885
1990-11-20,0.5841
1990-11-21,0.5885
1990-11-22,0.5843
1990-11-23,0.5843
1990-11-24,0.585
1990-11-25,0.5847
1990-11-26,0.588
1990-11-27,0.5853
1990-11-28,0.5848
1990-11-29,0.5875
1990-11-30,0.5876
1990-12-1,0.5887
1990-12-2,0.5899
1990-12-3,0.5892
1990-12-4,0.5875
1990-12-5,0.5881
1990-12-6,0.5896
1990-12-7,0.5912
1990-12-8,0.5902
1990-12-9,0.5882
1990-12-10,0.5888
1990-12-11,0.5875
1990-12-12,0.5785
1990-12-13,0.582
1990-12-14,0.5825
1990-12-15,0.5834
1990-12-16,0.5828
1990-12-17,0.581
1990-12-18,0.5811
1990-12-19,0.583
1990-12-20,0.5824
1990-12-21,0.5795
1990-12-22,0.5797
1990-12-23,0.5763
1990-12-24,0.574
1990-12-25,0.5718
1990-12-26,0.5712
1990-12-27,0.576
1990-12-28,0.575
1990-12-29,0.5753
1990-12-30,0.576
1990-12-31,0.5752
1991-1-1,0.575
1991-1-2,0.5755
1991-1-3,0.5763
1991-1-4,0.5773
1991-1-5,0.5754
1991-1-6,0.5723
1991-1-7,0.568
1991-1-8,0.5685
1991-1-9,0.5665
1991-1-10,0.5686
1991-1-11,0.5667
1991-1-12,0.5632
1991-1-13,0.5618
1991-1-14,0.5624
1991-1-15,0.5627
1991-1-16,0.5645
1991-1-17,0.5648
1991-1-18,0.563
1991-1-19,0.5674
1991-1-20,0.5667
1991-1-21,0.565
1991-1-22,0.5664
1991-1-23,0.571
1991-1-24,0.5712
1991-1-25,0.5711
1991-1-26,0.5708
1991-1-27,0.5714
1991-1-28,0.5725
1991-1-29,0.5757
1991-1-30,0.574
1991-1-31,0.5741
1991-2-1,0.5735
1991-2-2,0.5711
1991-2-3,0.5717
1991-2-4,0.5738
1991-2-5,0.573
1991-2-6,0.5731
1991-2-7,0.5732
1991-2-8,0.5705
1991-2-9,0.575
1991-2-10,0.5753
1991-2-11,0.5755
1991-2-12,0.5742
1991-2-13,0.5735
1991-2-14,0.573
1991-2-15,0.5741
1991-2-16,0.575
1991-2-17,0.5744
1991-2-18,0.5723
1991-2-19,0.5745
1991-2-20,0.5798
1991-2-21,0.5814
1991-2-22,0.5825
1991-2-23,0.5822
1991-2-24,0.582
1991-2-25,0.5843
1991-2-26,0.5863
1991-2-27,0.587
1991-2-28,0.5839
1991-3-1,0.5843
1991-3-2,0.5845
1991-3-3,0.5856
1991-3-4,0.5737
1991-3-5,0.5643
1991-3-6,0.5693
1991-3-7,0.5678
1991-3-8,0.5699
1991-3-9,0.568
1991-3-10,0.5665
1991-3-11,0.5671
1991-3-12,0.5673
1991-3-13,0.568
1991-3-14,0.5654
1991-3-15,0.5635
1991-3-16,0.5679
1991-3-17,0.5661
1991-3-18,0.5658
1991-3-19,0.566
1991-3-20,0.5628
1991-3-21,0.5526
1991-3-22,0.5565
1991-3-23,0.5565
1991-3-24,0.5551
1991-3-25,0.5563
1991-3-26,0.5566
1991-3-27,0.564
1991-3-28,0.5633
1991-3-29,0.5585
1991-3-30,0.5618
1991-3-31,0.5611
1991-4-1,0.5654
1991-4-2,0.5667
1991-4-3,0.566
1991-4-4,0.5673
1991-4-5,0.569
1991-4-6,0.5682
1991-4-7,0.567
1991-4-8,0.564
1991-4-9,0.561
1991-4-10,0.5627
1991-4-11,0.5619
1991-4-12,0.5623
1991-4-13,0.5618
1991-4-14,0.56
1991-4-15,0.5566
1991-4-16,0.5562
1991-4-17,0.5552
1991-4-18,0.5588
1991-4-19,0.5576
1991-4-20,0.557
1991-4-21,0.554
1991-4-22,0.5496
1991-4-23,0.5507
1991-4-24,0.543
1991-4-25,0.5435
1991-4-26,0.544
1991-4-27,0.5445
1991-4-28,0.5435
1991-4-29,0.5405
1991-4-30,0.5403
1991-5-1,0.5375
1991-5-2,0.5379
1991-5-3,0.5495
1991-5-4,0.5515
1991-5-5,0.5494
1991-5-6,0.5442
1991-5-7,0.5417
1991-5-8,0.5443
1991-5-9,0.5435
1991-5-10,0.5385
1991-5-11,0.5397
1991-5-12,0.5415
1991-5-13,0.5422
1991-5-14,0.5405
1991-5-15,0.5403
1991-5-16,0.5405
1991-5-17,0.5365
1991-5-18,0.5409
1991-5-19,0.5406
1991-5-20,0.5399
1991-5-21,0.5402
1991-5-22,0.54
1991-5-23,0.5415
1991-5-24,0.5405
1991-5-25,0.5416
1991-5-26,0.5423
1991-5-27,0.5412
1991-5-28,0.5408
1991-5-29,0.5397
1991-5-30,0.5407
1991-5-31,0.5415
1991-6-1,0.5412
1991-6-2,0.5412
1991-6-3,0.5439
1991-6-4,0.5422
1991-6-5,0.5401
1991-6-6,0.5414
1991-6-7,0.541
1991-6-8,0.5463
1991-6-9,0.5466
1991-6-10,0.5471
1991-6-11,0.5482
1991-6-12,0.5453
1991-6-13,0.547
1991-6-14,0.5477
1991-6-15,0.5473
1991-6-16,0.5483
1991-6-17,0.5481
1991-6-18,0.5479
1991-6-19,0.5472
1991-6-20,0.5456
1991-6-21,0.5463
1991-6-22,0.548
1991-6-23,0.5497
1991-6-24,0.5492
1991-6-25,0.5489
1991-6-26,0.5484
1991-6-27,0.5495
1991-6-28,0.5504
1991-6-29,0.549
1991-6-30,0.5483
1991-7-1,0.5463
1991-7-2,0.545
1991-7-3,0.5446
1991-7-4,0.547
1991-7-5,0.5439
1991-7-6,0.5423
1991-7-7,0.5421
1991-7-8,0.5437
1991-7-9,0.5435
1991-7-10,0.5447
1991-7-11,0.5453
1991-7-12,0.5445
1991-7-13,0.5438
1991-7-14,0.543
1991-7-15,0.5413
1991-7-16,0.5377
1991-7-17,0.533
1991-7-18,0.534
1991-7-19,0.5348
1991-7-20,0.5376
1991-7-21,0.5386
1991-7-22,0.5372
1991-7-23,0.537
1991-7-24,0.5382
1991-7-25,0.5374
1991-7-26,0.5368
1991-7-27,0.5371
1991-7-28,0.5337
1991-7-29,0.532
1991-7-30,0.533
1991-7-31,0.5347
1991-8-1,0.534
1991-8-2,0.534
1991-8-3,0.5333
1991-8-4,0.5326
1991-8-5,0.5336
1991-8-6,0.5348
1991-8-7,0.5355
1991-8-8,0.5358
1991-8-9,0.536
1991-8-10,0.5352
1991-8-11,0.5351
1991-8-12,0.5356
1991-8-13,0.5373
1991-8-14,0.5369
1991-8-15,0.5385
1991-8-16,0.5407
1991-8-17,0.5442
1991-8-18,0.5434
1991-8-19,0.5433
1991-8-20,0.5436
1991-8-21,0.5417
1991-8-22,0.5423
1991-8-23,0.542
1991-8-24,0.5435
1991-8-25,0.546
1991-8-26,0.5445
1991-8-27,0.5443
1991-8-28,0.545
1991-8-29,0.5447
1991-8-30,0.5435
1991-8-31,0.5438
1991-9-1,0.5442
1991-9-2,0.544
1991-9-3,0.544
1991-9-4,0.5448
1991-9-5,0.5441
1991-9-6,0.5438
1991-9-7,0.5448
1991-9-8,0.5455
1991-9-9,0.5458
1991-9-10,0.5467
1991-9-11,0.5474
1991-9-12,0.546
1991-9-13,0.546
1991-9-14,0.5482
1991-9-15,0.5483
1991-9-16,0.5475
1991-9-17,0.5481
1991-9-18,0.5488
1991-9-19,0.5482
1991-9-20,0.5461
1991-9-21,0.5457
1991-9-22,0.5453
1991-9-23,0.5457
1991-9-24,0.5453
1991-9-25,0.5446
1991-9-26,0.5443
1991-9-27,0.544
1991-9-28,0.5434
1991-9-29,0.5426
1991-9-30,0.5343
1991-10-1,0.5371
1991-10-2,0.538
1991-10-3,0.5381
1991-10-4,0.5398
1991-10-5,0.5401
1991-10-6,0.5384
1991-10-7,0.5383
1991-10-8,0.5408
1991-10-9,0.5415
1991-10-10,0.5417
1991-10-11,0.5408
1991-10-12,0.5392
1991-10-13,0.5398
1991-10-14,0.5401
1991-10-15,0.5402
1991-10-16,0.542
1991-10-17,0.5383
1991-10-18,0.5405
1991-10-19,0.5436
1991-10-20,0.5472
1991-10-21,0.5537
1991-10-22,0.545
1991-10-23,0.5465
1991-10-24,0.5465
1991-10-25,0.5431
1991-10-26,0.538
1991-10-27,0.5385
1991-10-28,0.5379
1991-10-29,0.538
1991-10-30,0.5365
1991-10-31,0.5358
1991-11-1,0.5372
1991-11-2,0.5404
1991-11-3,0.5433
1991-11-4,0.545
1991-11-5,0.5425
1991-11-6,0.5432
1991-11-7,0.5412
1991-11-8,0.543
1991-11-9,0.5431
1991-11-10,0.5425
1991-11-11,0.542
1991-11-12,0.5405
1991-11-13,0.5389
1991-11-14,0.5391
1991-11-15,0.54
1991-11-16,0.5412
1991-11-17,0.5399
1991-11-18,0.5218
1991-11-19,0.525
1991-11-20,0.5245
1991-11-21,0.5252
1991-11-22,0.5237
1991-11-23,0.523
1991-11-24,0.5248
1991-11-25,0.5205
1991-11-26,0.515
1991-11-27,0.517
1991-11-28,0.5165
1991-11-29,0.5148
1991-11-30,0.515
1991-12-1,0.5109
1991-12-2,0.512
1991-12-3,0.5127
1991-12-4,0.516
1991-12-5,0.5171
1991-12-6,0.5186
1991-12-7,0.5175
1991-12-8,0.5183
1991-12-9,0.5167
1991-12-10,0.5155
1991-12-11,0.5144
1991-12-12,0.5188
1991-12-13,0.5171
1991-12-14,0.5154
1991-12-15,0.5139
1991-12-16,0.5148
1991-12-17,0.5138
1991-12-18,0.5134
1991-12-19,0.5135
1991-12-20,0.5121
1991-12-21,0.5053
1991-12-22,0.5055
1991-12-23,0.508
1991-12-24,0.5101
1991-12-25,0.5129
1991-12-26,0.5127
1991-12-27,0.5123
1991-12-28,0.5135
1991-12-29,0.5125
1991-12-30,0.5117
1991-12-31,0.5147
1992-1-1,0.5168
1992-1-2,0.518
1992-1-3,0.5156
1992-1-4,0.518
1992-1-5,0.5162
1992-1-6,0.514
1992-1-7,0.5145
1992-1-8,0.5133
1992-1-9,0.5091
1992-1-10,0.5095
1992-1-11,0.5115
1992-1-12,0.513
1992-1-13,0.512
1992-1-14,0.5158
1992-1-15,0.5157
1992-1-16,0.516
1992-1-17,0.5168
1992-1-18,0.5252
1992-1-19,0.5225
1992-1-20,0.5233
1992-1-21,0.5269
1992-1-22,0.528
1992-1-23,0.5268
1992-1-24,0.53
1992-1-25,0.5275
1992-1-26,0.5265
1992-1-27,0.528
1992-1-28,0.5271
1992-1-29,0.5271
1992-1-30,0.5278
1992-1-31,0.5266
1992-2-1,0.5275
1992-2-2,0.5335
1992-2-3,0.5347
1992-2-4,0.5336
1992-2-5,0.5365
1992-2-6,0.5292
1992-2-7,0.5321
1992-2-8,0.5323
1992-2-9,0.534
1992-2-10,0.5341
1992-2-11,0.5345
1992-2-12,0.5316
1992-2-13,0.5276
1992-2-14,0.5288
1992-2-15,0.538
1992-2-16,0.538
1992-2-17,0.54
1992-2-18,0.5415
1992-2-19,0.5423
1992-2-20,0.5407
1992-2-21,0.5382
1992-2-22,0.5413
1992-2-23,0.5402
1992-2-24,0.5433
1992-2-25,0.5463
1992-2-26,0.5398
1992-2-27,0.5438
1992-2-28,0.5415
1992-2-29,0.5425
1992-3-1,0.5438
1992-3-2,0.543
1992-3-3,0.5432
1992-3-4,0.537
1992-3-5,0.5392
1992-3-6,0.5411
1992-3-7,0.5442
1992-3-8,0.5438
1992-3-9,0.5473
1992-3-10,0.5469
1992-3-11,0.542
1992-3-12,0.5422
1992-3-13,0.5426
1992-3-14,0.5376
1992-3-15,0.5363
1992-3-16,0.5339
1992-3-17,0.5356
1992-3-18,0.5371
1992-3-19,0.542
1992-3-20,0.5422
1992-3-21,0.5438
1992-3-22,0.5445
1992-3-23,0.5423
1992-3-24,0.5412
1992-3-25,0.5383
1992-3-26,0.5366
1992-3-27,0.5372
1992-3-28,0.5373
1992-3-29,0.5378
1992-3-30,0.5366
1992-3-31,0.5412
1992-4-1,0.5428
1992-4-2,0.5443
1992-4-3,0.5465
1992-4-4,0.551
1992-4-5,0.55
1992-4-6,0.5495
1992-4-7,0.5483
1992-4-8,0.5503
1992-4-9,0.5492
1992-4-10,0.5492
1992-4-11,0.547
1992-4-12,0.547
1992-4-13,0.5495
1992-4-14,0.5505
1992-4-15,0.551
1992-4-16,0.5525
1992-4-17,0.5524
1992-4-18,0.5512
1992-4-19,0.5515
1992-4-20,0.554
1992-4-21,0.5521
1992-4-22,0.5521
1992-4-23,0.5515
1992-4-24,0.5535
1992-4-25,0.55
1992-4-26,0.5572
1992-4-27,0.5489
1992-4-28,0.5493
1992-4-29,0.551
1992-4-30,0.5515
1992-5-1,0.553
1992-5-2,0.554
1992-5-3,0.555
1992-5-4,0.555
1992-5-5,0.5535
1992-5-6,0.5505
1992-5-7,0.5528
1992-5-8,0.5565
1992-5-9,0.555
1992-5-10,0.552
1992-5-11,0.551
1992-5-12,0.552
1992-5-13,0.5535
1992-5-14,0.5478
1992-5-15,0.5425
1992-5-16,0.5483
1992-5-17,0.5525
1992-5-18,0.5522
1992-5-19,0.551
1992-5-20,0.5512
1992-5-21,0.5528
1992-5-22,0.5527
1992-5-23,0.5515
1992-5-24,0.5515
1992-5-25,0.5525
1992-5-26,0.5537
1992-5-27,0.5541
1992-5-28,0.5536
1992-5-29,0.5547
1992-5-30,0.5545
1992-5-31,0.552
1992-6-1,0.55
1992-6-2,0.5504
1992-6-3,0.5505
1992-6-4,0.5503
1992-6-5,0.548
1992-6-6,0.5476
1992-6-7,0.5495
1992-6-8,0.5515
1992-6-9,0.5521
1992-6-10,0.5518
1992-6-11,0.5516
1992-6-12,0.55
1992-6-13,0.5515
1992-6-14,0.555
1992-6-15,0.5557
1992-6-16,0.556
1992-6-17,0.5568
1992-6-18,0.556
1992-6-19,0.5556
1992-6-20,0.5545
1992-6-21,0.554
1992-6-22,0.554
1992-6-23,0.5545
1992-6-24,0.5547
1992-6-25,0.5545
1992-6-26,0.5545
1992-6-27,0.5572
1992-6-28,0.5531
1992-6-29,0.5455
1992-6-30,0.5393
1992-7-1,0.5385
1992-7-2,0.5382
1992-7-3,0.5387
1992-7-4,0.55
1992-7-5,0.55
1992-7-6,0.548
1992-7-7,0.5472
1992-7-8,0.5475
1992-7-9,0.5486
1992-7-10,0.5468
1992-7-11,0.545
1992-7-12,0.5455
1992-7-13,0.5463
1992-7-14,0.5477
1992-7-15,0.5495
1992-7-16,0.5502
1992-7-17,0.5505
1992-7-18,0.5555
1992-7-19,0.555
1992-7-20,0.5557
1992-7-21,0.554
1992-7-22,0.5561
1992-7-23,0.559
1992-7-24,0.561
1992-7-25,0.5613
1992-7-26,0.561
1992-7-27,0.5613
1992-7-28,0.561
1992-7-29,0.5593
1992-7-30,0.558
1992-7-31,0.5585
1992-8-1,0.5595
1992-8-2,0.5583
1992-8-3,0.5575
1992-8-4,0.559
1992-8-5,0.562
1992-8-6,0.562
1992-8-7,0.5613
1992-8-8,0.5557
1992-8-9,0.5568
1992-8-10,0.5584
1992-8-11,0.5595
1992-8-12,0.5587
1992-8-13,0.5573
1992-8-14,0.558
1992-8-15,0.563
1992-8-16,0.565
1992-8-17,0.5648
1992-8-18,0.5657
1992-8-19,0.5658
1992-8-20,0.567
1992-8-21,0.5685
1992-8-22,0.5683
1992-8-23,0.5675
1992-8-24,0.5673
1992-8-25,0.5725
1992-8-26,0.5723
1992-8-27,0.5715
1992-8-28,0.571
1992-8-29,0.572
1992-8-30,0.5755
1992-8-31,0.5755
1992-9-1,0.575
1992-9-2,0.5728
1992-9-3,0.5725
1992-9-4,0.572
1992-9-5,0.574
1992-9-6,0.575
1992-9-7,0.5735
1992-9-8,0.578
1992-9-9,0.5785
1992-9-10,0.5785
1992-9-11,0.5777
1992-9-12,0.575
1992-9-13,0.5765
1992-9-14,0.5701
1992-9-15,0.5697
1992-9-16,0.5735
1992-9-17,0.577
1992-9-18,0.576
1992-9-19,0.5743
1992-9-20,0.572
1992-9-21,0.5725
1992-9-22,0.5755
1992-9-23,0.576
1992-9-24,0.575
1992-9-25,0.5735
1992-9-26,0.5728
1992-9-27,0.5693
1992-9-28,0.569
1992-9-29,0.5702
1992-9-30,0.5665
1992-10-1,0.5663
1992-10-2,0.5688
1992-10-3,0.5663
1992-10-4,0.5593
1992-10-5,0.5613
1992-10-6,0.5637
1992-10-7,0.566
1992-10-8,0.5682
1992-10-9,0.5713
1992-10-10,0.5703
1992-10-11,0.569
1992-10-12,0.5657
1992-10-13,0.568
1992-10-14,0.5685
1992-10-15,0.5665
1992-10-16,0.5653
1992-10-17,0.5672
1992-10-18,0.5682
1992-10-19,0.5725
1992-10-20,0.573
1992-10-21,0.5743
1992-10-22,0.574
1992-10-23,0.574
1992-10-24,0.577
1992-10-25,0.5767
1992-10-26,0.5755
1992-10-27,0.5765
1992-10-28,0.5776
1992-10-29,0.5765
1992-10-30,0.579
1992-10-31,0.5815
1992-11-1,0.5805
1992-11-2,0.5817
1992-11-3,0.5835
1992-11-4,0.5863
1992-11-5,0.5855
1992-11-6,0.5855
1992-11-7,0.5855
1992-11-8,0.5868
1992-11-9,0.5885
1992-11-10,0.5877
1992-11-11,0.5882
1992-11-12,0.5877
1992-11-13,0.5877
1992-11-14,0.5945
1992-11-15,0.5942
1992-11-16,0.5933
1992-11-17,0.5943
1992-11-18,0.593
1992-11-19,0.591
1992-11-20,0.5905
1992-11-21,0.5887
1992-11-22,0.5886
1992-11-23,0.5887
1992-11-24,0.5864
1992-11-25,0.587
1992-11-26,0.5876
1992-11-27,0.591
1992-11-28,0.595
1992-11-29,0.5953
1992-11-30,0.5936
1992-12-1,0.591
1992-12-2,0.588
1992-12-3,0.5897
1992-12-4,0.5918
1992-12-5,0.5928
1992-12-6,0.595
1992-12-7,0.5975
1992-12-8,0.5931
1992-12-9,0.596
1992-12-10,0.5973
1992-12-11,0.602
1992-12-12,0.603
1992-12-13,0.6055
1992-12-14,0.6051
1992-12-15,0.5972
1992-12-16,0.5983
1992-12-17,0.597
1992-12-18,0.5993
1992-12-19,0.6007
1992-12-20,0.6038
1992-12-21,0.605
1992-12-22,0.6045
1992-12-23,0.6045
1992-12-24,0.6012
1992-12-25,0.6
1992-12-26,0.6015
1992-12-27,0.6025
1992-12-28,0.6025
1992-12-29,0.6003
1992-12-30,0.6025
1992-12-31,0.604
1993-1-1,0.6043
1993-1-2,0.6002
1993-1-3,0.5987
1993-1-4,0.6
1993-1-5,0.5992
1993-1-6,0.6032
1993-1-7,0.6002
1993-1-8,0.5978
1993-1-9,0.6007
1993-1-10,0.599
1993-1-11,0.599
1993-1-12,0.6
1993-1-13,0.6025
1993-1-14,0.603
1993-1-15,0.6035
1993-1-16,0.601
1993-1-17,0.6015
1993-1-18,0.6018
1993-1-19,0.604
1993-1-20,0.6047
1993-1-21,0.6041
1993-1-22,0.6067
1993-1-23,0.6046
1993-1-24,0.604
1993-1-25,0.6021
1993-1-26,0.6022
1993-1-27,0.6027
1993-1-28,0.6037
1993-1-29,0.604
1993-1-30,0.6032
1993-1-31,0.603
1993-2-1,0.6002
1993-2-2,0.5992
1993-2-3,0.6022
1993-2-4,0.6023
1993-2-5,0.6022
1993-2-6,0.6017
1993-2-7,0.603
1993-2-8,0.6025
1993-2-9,0.6027
1993-2-10,0.603
1993-2-11,0.6029
1993-2-12,0.6047
1993-2-13,0.6045
1993-2-14,0.605
1993-2-15,0.6054
1993-2-16,0.6055
1993-2-17,0.6061
1993-2-18,0.6107
1993-2-19,0.6113
1993-2-20,0.6113
1993-2-21,0.6125
1993-2-22,0.612
1993-2-23,0.6125
1993-2-24,0.6123
1993-2-25,0.613
1993-2-26,0.614
1993-2-27,0.6152
1993-2-28,0.615
1993-3-1,0.6152
1993-3-2,0.6165
1993-3-3,0.6147
1993-3-4,0.6185
1993-3-5,0.6203
1993-3-6,0.6215
1993-3-7,0.6225
1993-3-8,0.6215
1993-3-9,0.62
1993-3-10,0.62
1993-3-11,0.6195
1993-3-12,0.6223
1993-3-13,0.624
1993-3-14,0.622
1993-3-15,0.623
1993-3-16,0.6225
1993-3-17,0.6207
1993-3-18,0.6227
1993-3-19,0.6233
1993-3-20,0.6278
1993-3-21,0.6299
1993-3-22,0.63
1993-3-23,0.63
1993-3-24,0.6325
1993-3-25,0.6343
1993-3-26,0.6328
1993-3-27,0.6346
1993-3-28,0.6352
1993-3-29,0.637
1993-3-30,0.6385
1993-3-31,0.641
1993-4-1,0.639
1993-4-2,0.64
1993-4-3,0.6384
